nombre_pokemon,altura,peso,estado_evolutivo,nombre_tipo,descripcion_pokemon,imagen_url
"DODRIO",1.80,85.20,"FINAL","NORMAL","ESTE POKÉMON SURGE AL DIVIDIRSE UNA DE LAS CABEZAS DE DODUO. ES CAPAZ DE CORRER POR LAS PRADERAS A 60 KM/H.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/85.png"
"SEEL",1.10,90.00,"BASICO","AGUA","LE ENCANTAN LOS LUGARES GÉLIDOS Y DISFRUTA NADANDO EN AGUAS A TEMPERATURAS EN TORNO A LOS -10 °C.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/86.png"
"DEWGONG",1.70,120.00,"FINAL","AGUA","SU CUERPO ES BLANCO COMO LA NIEVE. PUEDE NADAR PLÁCIDAMENTE EN MARES GÉLIDOS GRACIAS A SU RESISTENCIA AL FRÍO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/87.png"
"GRIMER",0.90,30.00,"BASICO","VENENO","ESTÁ HECHO DE LODO ENDURECIDO. POCOS SE ATREVEN A TOCARLO DEBIDO A SU PESTILENCIA Y COMPOSICIÓN NOCIVA. ALLÁ POR DONDE PASA NO CRECE LA HIERBA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/88.png"
"MUK",1.20,30.00,"FINAL","VENENO","HUELE TAN MAL QUE PUEDE PROVOCAR DESMAYOS. SU NARIZ SE HA ATROFIADO DE TAL MANERA QUE HA PERDIDO POR COMPLETO EL SENTIDO DEL OLFATO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/89.png"
"SHELLDER",0.30,4.00,"BASICO","AGUA","LA CONCHA LO PROTEGE DE CUALQUIER TIPO DE ATAQUE. SOLO ES VULNERABLE CUANDO SE ABRE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/90.png"
"CLOYSTER",1.50,132.50,"FINAL","AGUA","UNA VEZ QUE HA CERRADO LA CONCHA, ES IMPOSIBLE ABRIRLA, INDEPENDIENTEMENTE DE LA FUERZA QUE SE EJERZA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/91.png"
"GASTLY",1.30,0.10,"BASICO","FANTASMA","CON SU CUERPO GASEOSO PUEDE COLARSE POR DONDE QUIERA, AUNQUE CON UN GOLPE DE VIENTO SALE DESPEDIDO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/92.png"
"HAUNTER",1.60,0.10,"INTERMEDIO","FANTASMA","CUANDO SE TIENE LA SENSACIÓN DE SER OBSERVADO EN LA OSCURIDAD SIN QUE HAYA NADIE ALREDEDOR, SEGURO QUE ES PORQUE UN HAUNTER ANDA CERCA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/93.png"
"GENGAR",1.50,40.50,"FINAL","FANTASMA","DICEN QUE SALE DE LA OSCURIDAD PARA ROBARLES EL ALMA A LOS QUE SE PIERDEN POR LAS MONTAÑAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/94.png"
"ONIX",8.80,210.00,"BASICO","ROCA","PERFORA EL SUELO A UNA VELOCIDAD DE 80 KM/H GIRANDO Y RETORCIENDO SU ROBUSTO Y ENORME CUERPO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/95.png"
"DROWZEE",1.00,32.40,"BASICO","PSIQUICO","SI SE DUERME SIEMPRE EN COMPAÑÍA DE UN POKÉMON DE ESTA ESPECIE, PUEDE MOSTRAR SUEÑOS QUE HAYA INGERIDO CON ANTERIORIDAD.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/96.png"
"HYPNO",1.60,75.60,"FINAL","PSIQUICO","CONVIENE EVITAR EL CONTACTO VISUAL EN CASO DE ENCONTRARSE CON ESTE POKÉMON, YA QUE PUEDE HIPNOTIZAR CON SU PÉNDULO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/97.png"
"KRABBY",0.40,6.50,"BASICO","AGUA","ANTE EL PELIGRO, SE CAMUFLA CON LAS BURBUJAS QUE DESPRENDE POR LA BOCA PARA PARECER MÁS GRANDE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/98.png"
"KINGLER",1.30,60.00,"FINAL","AGUA","SU GRAN PINZA POSEE UNA POTENCIA DEVASTADORA, PERO SU PESO EXCESIVO LA CONVIERTE EN UN ESTORBO FUERA DEL TERRENO DE COMBATE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/99.png"
"VOLTORB",0.50,10.40,"BASICO","ELECTRICO","SE DICE QUE SE CAMUFLA COMO UNA POKÉ BALL. AL MÁS MÍNIMO ESTÍMULO SE AUTODESTRUIRÁ.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/100.png"
"ELECTRODE",1.20,66.60,"FINAL","ELECTRICO","ALMACENA TAL CANTIDAD DE ENERGÍA ELÉCTRICA EN SU CUERPO QUE EL MÁS LEVE IMPACTO PUEDE PROVOCAR UNA GRAN EXPLOSIÓN.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/101.png"
"EXEGGCUTE",0.40,2.50,"BASICO","PLANTA","NECESITA CONTAR CON LA TOTALIDAD DE SUS SEIS MIEMBROS PARA MANTENER LA CALMA. SI DESAPARECE UNO SIQUIERA, LE ENTRAN GANAS DE SALIR HUYENDO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/102.png"
"EXEGGUTOR",2.00,120.00,"FINAL","PLANTA","PUEDE LANZAR ATAQUES PSÍQUICOS DE GRAN POTENCIA SI SUS TRES CABEZAS SE PONEN DE ACUERDO. CUANDO SE NUBLA EL CIELO, SUS MOVIMIENTOS SE RALENTIZAN.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/103.png"
"CUBONE",0.40,6.50,"BASICO","TIERRA","LLEVA PUESTO EL CRÁNEO DE SU DIFUNTA MADRE. A VECES LLORA EN SUEÑOS, PERO CADA LÁGRIMA VERTIDA LE HACE MÁS FUERTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/104.png"
"MAROWAK",1.00,45.00,"FINAL","TIERRA","AL EVOLUCIONAR, SE HA FUSIONADO CON EL CRÁNEO DE SU MADRE Y, ADEMÁS, HA ADQUIRIDO UN CARÁCTER AGRESIVO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/105.png"
"HITMONLEE",1.50,49.80,"FINAL","LUCHA","ENCOGE Y ESTIRA LAS PIERNAS A SU ANTOJO. DE HECHO, HASTA PUEDE PROPINAR UNA PATADA A UN RIVAL QUE SE ENCUENTRE LEJOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/106.png"
"HITMONCHAN",1.40,50.20,"FINAL","LUCHA","SUS PUÑETAZOS SON CAPACES INCLUSO DE CORTAR EL AIRE, AUNQUE PARECE NECESITAR UN DESCANSO TRAS ESTAR LUCHANDO DURANTE 3 MIN.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/107.png"
"LICKITUNG",1.20,65.50,"BASICO","NORMAL","SE NUTRE PRINCIPALMENTE DE POKÉMON INSECTO, A LOS QUE PARALIZA PRIMERO LAMIÉNDOLOS CON SU LARGA LENGUA Y LUEGO ENGULLE DE UN BOCADO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/108.png"
"KOFFING",0.60,1.00,"BASICO","VENENO","SE NUTRE DE AIRE CONTAMINADO. AL PARECER, ANTAÑO ERAN MUCHO MÁS NUMEROSOS EN GALAR.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/109.png"
"WEEZING",1.20,9.50,"FINAL","VENENO","POSEE UNA CAPACIDAD DE SUCCIÓN INFERIOR A LA DEL WEEZING DE GALAR, PERO LAS TOXINAS QUE GENERA SON MÁS POTENTES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/110.png"
"RHYHORN",1.00,115.00,"BASICO","TIERRA","LA CABEZA NO LE DA PARA RETENER MÁS DE UNA COSA. SI SE PONE A CORRER, SE LE OLVIDA AL INSTANTE POR QUÉ EMPEZÓ A HACERLO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/111.png"
"RHYDON",1.90,120.00,"INTERMEDIO","TIERRA","LA PIEL LE SIRVE DE ESCUDO PROTECTOR. PUEDE VIVIR EN LAVA LÍQUIDA A 2000 °C.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/112.png"
"CHANSEY",1.10,34.60,"INTERMEDIO","NORMAL","ESTE POKÉMON SOLÍA SER LENTO DE REFLEJOS, PERO HA DESARROLLADO UNA GRAN VELOCIDAD PARA EVITAR QUE LE ROBEN SUS PRECIADOS HUEVOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/113.png"
"TANGELA",1.00,35.00,"BASICO","PLANTA","SUS LIANAS DESPIDEN UNA FRAGANCIA PECULIAR. EN CIERTA ZONA DE GALAR SE USAN COMO ADEREZO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/114.png"
"KANGASKHAN",2.20,80.00,"BASICO","NORMAL","SE HAN DOCUMENTADO CASOS DE KANGASKHAN SIN CRÍAS QUE HAN ADOPTADO BEBÉS HUMANOS CUYOS PADRES HABÍAN SIDO VÍCTIMAS DE ACCIDENTES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/115.png"
"HORSEA",0.40,8.00,"BASICO","AGUA","NADA CON LA GRACILIDAD DE UN BAILARÍN, CREANDO REMOLINOS A SU PASO, Y JUEGA CON SUS CONGÉNERES A VER QUIÉN FORMA EL MÁS GRANDE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/116.png"
"SEADRA",1.20,25.00,"INTERMEDIO","AGUA","SU ESTRECHO MORRO POSEE TAL FUERZA DE SUCCIÓN QUE ES CAPAZ DE ASPIRAR PRESAS DE MAYOR TAMAÑO Y ENGULLIRLAS ENTERAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/117.png"
"GOLDEEN",0.60,15.00,"BASICO","AGUA","LA ALETA DORSAL Y LAS ALETAS PECTORALES ESTÁN TAN DESARROLLADAS QUE ACTÚAN COMO MÚSCULOS. PUEDE NADAR A UNA VELOCIDAD DE CINCO NUDOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/118.png"
"SEAKING",1.30,39.00,"FINAL","AGUA","PERFORA LAS PIEDRAS DEL LECHO DEL RÍO CON SU CUERNO PARA HACER UN NIDO Y QUE LA CORRIENTE NO ARRASTRE SUS HUEVOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/119.png"
"STARYU",0.80,34.50,"BASICO","AGUA","NO LE IMPORTA QUE LE MORDISQUEEN EL CUERPO LOS POKÉMON PEZ, YA QUE LAS PARTES DESGARRADAS SE REGENERAN CASI AL INSTANTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/120.png"
"STARMIE",1.10,80.00,"FINAL","AGUA","STARMIE ABSORBE PLANCTON AL TIEMPO QUE NADA POR EL MAR HACIENDO GIRAR SU CUERPO A GRAN VELOCIDAD.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/121.png"
"MR. MIME",1.30,54.50,"INTERMEDIO","PSIQUICO","DOMINA CON MAESTRÍA LA PANTOMIMA. LA BARRERA GENERADA CON LAS ONDAS QUE EMITE POR LOS DEDOS LE PERMITE PROTEGERSE DE NUMEROSOS ATAQUES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/122.png"
"SCYTHER",1.50,56.00,"BASICO","BICHO","EL TERRITORIO DE UN SCYTHER SE IDENTIFICA FÁCILMENTE POR EL GRAN NÚMERO DE ÁRBOLES TALADOS DE FORMA INDISCRIMINADA EN UNA MISMA ZONA DEL BOSQUE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/123.png"
"JYNX",1.40,40.60,"FINAL","HIELO","LOS EJEMPLARES QUE HABITAN EN GALAR POSEEN UNA VOZ TAN DELICADA Y HERMOSA QUE INCLUSO CUENTAN CON SU PROPIO GRUPO DE ADMIRADORES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/124.png"
"ELECTABUZZ",1.10,30.00,"INTERMEDIO","ELECTRICO","AL DESATARSE UNA TORMENTA, SE REÚNEN EN TORNO A LOS ÁRBOLES DE MAYOR ALTURA Y ESPERAN INMÓVILES A QUE CAIGA ALGÚN RAYO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/125.png"
"MAGMAR",1.30,44.50,"INTERMEDIO","FUEGO","UN POKÉMON CUYO CUERPO ESTÁ SIEMPRE ENVUELTO EN LLAMAS. ES TEMIDO PORQUE SE LO CONSIDERA UN CAUSANTE POTENCIAL DE INCENDIOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/126.png"
"PINSIR",1.50,55.00,"BASICO","BICHO","USA LA CORNAMENTA A MODO DE PINZA PARA ATRAPAR A SUS PRESAS. ACTO SEGUIDO, LAS PARTE POR LA MITAD O LAS ARROJA LEJOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/127.png"
"TAUROS",1.40,88.40,"BASICO","NORMAL","LOS TAUROS QUE HABITAN EN LA REGIÓN DE GALAR SON DE TEMPERAMENTO IRASCIBLE Y NO PERMITEN QUE LOS HUMANOS MONTEN EN SU LOMO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/128.png"
"MAGIKARP",0.90,10.00,"BASICO","AGUA","ESTE POKÉMON DÉBIL Y PATÉTICO SE LIMITA A DEJARSE LLEVAR POR LA CORRIENTE CUANDO ESTA TIENE FUERZA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/129.png"
"GYARADOS",6.50,235.00,"FINAL","AGUA","CUANDO MONTA EN CÓLERA, PUEDE QUEMARLO TODO, INCLUSO EN MEDIO DE LA MÁS VIOLENTA TORMENTA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/130.png"
"LAPRAS",2.50,220.00,"BASICO","AGUA","NADA SIN PROBLEMA EN AGUAS HELADAS GRACIAS A LA SOBERBIA RESISTENCIA AL FRÍO QUE POSEE. SU TERSA PIEL ES LIGERAMENTE FRÍA AL TACTO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/131.png"
"DITTO",0.30,4.00,"BASICO","NORMAL","CUANDO SE ENCUENTRA CON OTRO DITTO, SE MUEVE MÁS RÁPIDO DE LO NORMAL PARA INTENTAR ADOPTAR SU ASPECTO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/132.png"
"EEVEE",0.30,6.50,"BASICO","NORMAL","SU IRREGULAR ESTRUCTURA GENÉTICA ALBERGA EL SECRETO DE LA CAPACIDAD QUE POSEE ESTE POKÉMON TAN ESPECIAL PARA ADOPTAR EVOLUCIONES MUY VARIADAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/133.png"
"VAPOREON",1.00,29.00,"FINAL","AGUA","LA COMPOSICIÓN CELULAR DE SU CUERPO ES TAN SIMILAR A LA ESTRUCTURA MOLECULAR DEL AGUA QUE SE VUELVE INVISIBLE AL FUNDIRSE EN ELLA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/134.png"
"JOLTEON",0.80,24.50,"FINAL","ELECTRICO","ACUMULA IONES NEGATIVOS DE LA ATMÓSFERA PARA LANZAR RAYOS DE 10 000 V DE POTENCIA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/135.png"
"FLAREON",0.90,25.00,"FINAL","FUEGO","ALMACENA PARTE DEL AIRE QUE INHALA EN LA SACA DE FUEGO DE SU INTERIOR, QUE LLEGA A CALENTARSE A MÁS DE 1700 °C.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/136.png"
"PORYGON",0.80,36.50,"BASICO","NORMAL","DURANTE LOS ÚLTIMOS AÑOS, HA ESTADO MUY ACTIVO EN EL CIBERESPACIO COMPROBANDO QUE NO HAYA DATOS SOSPECHOSOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/137.png"
"OMANYTE",0.40,7.50,"BASICO","ROCA","UN POKÉMON DE LA ERA PREHISTÓRICA, AHORA EXTINTO. SOLÍA NADAR MOVIENDO SUS DIEZ TENTÁCULOS PARA DESPLAZARSE POR EL AGUA COMO SI FLOTARA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/138.png"
"OMASTAR",1.00,35.00,"FINAL","ROCA","POSEE UNOS COLMILLOS AFILADOS CON LOS QUE PUEDE PARTIR PIEDRAS, PERO SOLO ATACA A PRESAS QUE SE HALLAN AL ALCANCE DE SUS TENTÁCULOS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/139.png"
"KABUTO",0.50,11.50,"BASICO","ROCA","SE CONSIDERABA EXTINTO, PERO, AL PARECER, EXISTEN DETERMINADAS ZONAS EN LAS QUE ES POSIBLE HALLAR EJEMPLARES CON FACILIDAD.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/140.png"
"KABUTOPS",1.30,40.50,"FINAL","ROCA","SE DESCONOCE EL MOTIVO DE LA EXTINCIÓN DE ESTE FEROZ POKÉMON PREHISTÓRICO QUE HABITABA EN LOS CÁLIDOS MARES DE ANTAÑO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/141.png"
"AERODACTYL",1.80,59.00,"BASICO","ROCA","SUS COLMILLOS, AFILADOS COMO SIERRAS, PUEDEN HACER TRIZAS INCLUSO LA PIEL DE POKÉMON DE TIPO ACERO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/142.png"
"SNORLAX",2.10,460.00,"FINAL","NORMAL","ESTE POKÉMON TIENE UN ESTÓMAGO A PRUEBA DE BOMBA, POR LO QUE ES CAPAZ DE INGERIR INCLUSO COMIDA PODRIDA O MOHOSA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/143.png"
"ARTICUNO",1.70,55.40,"BASICO","HIELO","POSEE EL PODER DE CONTROLAR EL HIELO A SU ANTOJO. SE DICE QUE ESTE POKÉMON HABITA EN MONTAÑAS DE NIEVES PERPETUAS.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/144.png"
"ZAPDOS",1.60,52.60,"BASICO","ELECTRICO","UNA DE LAS AVES LEGENDARIAS. DICEN QUE, CUANDO ESTE POKÉMON FROTA LAS ALAS, CAE AL INSTANTE UN RELÁMPAGO DEL CIELO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/145.png"
"MOLTRES",2.00,60.00,"BASICO","FUEGO","SE CUENTA QUE ALGUNA VEZ HA ILUMINADO EL CAMINO CON SUS ALAS FLAMÍGERAS PARA RESCATAR A ALGUIEN QUE SE HABÍA PERDIDO EN LA MONTAÑA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/146.png"
"DRATINI",1.80,3.30,"BASICO","DRAGON","DURANTE MUCHO TIEMPO SE DUDÓ DE SU EXISTENCIA. LA PEQUEÑA PROTUBERANCIA DE LA FRENTE ES EN REALIDAD UN CUERNO INCIPIENTE.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/147.png"
"DRAGONAIR",4.00,16.50,"INTERMEDIO","DRAGON","ACUMULA ENERGÍA EN LAS ESFERAS DE LA COLA PARA CONTROLAR EL CLIMA. LA SUTIL AURA QUE LO RODEA LE CONFIERE UN ASPECTO MISTERIOSO Y MÍSTICO.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/148.png"
"DRAGONITE",2.20,210.00,"FINAL","DRAGON","SE LO CONOCE COMO EL AVATAR DE LA MAR. MUCHOS BARCOS LUCEN UNA TALLA DE DRAGONITE COMO MASCARÓN DE PROA.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/149.png"
"MEWTWO",2.00,122.00,"BASICO","PSIQUICO","SU ADN ES CASI EL MISMO QUE EL DE MEW. SIN EMBARGO, SU TAMAÑO Y CARÁCTER SON MUY DIFERENTES.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/150.png"
"MEW",0.40,4.00,"BASICO","PSIQUICO","SI SE OBSERVA A TRAVÉS DE UN MICROSCOPIO, PUEDE DISTINGUIRSE CUÁN CORTO, FINO Y DELICADO ES EL PELAJE DE ESTE POKÉMON.","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/151.png"
